//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Card Badge,Card Series,Year,Peak,Team,Franchise,LastName,FirstName,NickName,Nation,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Last 10 Price(VAR),date,Unnamed: 121,PIT,SP_Rating,SP_Rating_Normalized,RP_Rating,RP_Rating_Normalized,CL_Rating,CL_Rating_Normalized
Snapshot 1B Steve Balboni KC 1986,71120,54,7,,,,1986,N,Kansas City Royals,KCR,Balboni,Steve,,The United States,45,16,1,1957,1,1,3,0,38,111,104,66,42,37,50,104,98,100,47,54,35,114,106,57,41,33,2,2,2,6,5,6,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0.0,3,191,24,18,24,31,0,0,0,9,3,3,0,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,balbost01,25,37,34,385,2025-03-14,,12,2.7036796287187883,0.5708435144598264,2.6759636785192735,0.6823399013857486,1.8434322358889814,0.6781072889771981
MLB 2025 Live 1B Luken Baker STL,72542,62,1,,,,2025,N,St. Louis Cardinals,STL,Baker,Luken,,The United States,79,10,3,1997,1,1,3,0,58,62,95,82,62,56,59,64,99,87,64,57,58,62,94,81,62,56,3,2,0,3,4,16,11,44,6,1,52,18,38,81,1,49,18,36,75,1,57,19,41,89,41,28,0,17,0,0,0,0,0,0,0,0,44,28,2,0.0,3,193,18,37,75,15,4,4,4,23,28,17,0,0,49,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8,1,2,0,1,bakerlu01,0,47,41,0,2025-03-14,,12,26.81835786463439,26.016945043923666,25.257026421140534,25.02075087184315,23.083908594308024,23.538134750802275
Snapshot 2B Jeff Baker COL 2008,71047,54,7,,,,2008,N,Colorado Rockies,COL,Baker,Jeff,,Germany,10,21,6,1981,1,1,4,0,71,94,70,62,55,89,75,99,111,64,69,81,70,93,60,62,51,92,0,0,0,40,17,86,49,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0.0,3,188,60,62,63,74,0,0,0,58,63,54,0,0,88,66,58,0,67,0,56,0,1,1,1,0,1,0,1,6,0,1,0,0,bakerje03,0,19,25,15393,2025-03-14,,12,3.178162247404583,1.0715233398726487,3.365916399318328,1.4259874905356358,2.098128680682338,0.952223915372799
Hardware Heroes 3B Frank Baker PHA 1913,70326,100,9,,,,1913,N,Philadelphia Athletics,OAK,Baker,Home Run,Frank,The United States,21,13,3,1886,2,1,5,0,121,123,115,88,127,107,99,104,98,91,122,77,132,133,122,87,128,118,2,0,0,70,83,85,72,27,10,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,29,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0.0,4,180,76,34,84,79,0,0,0,2,10,8,0,0,0,0,66,0,0,0,0,0,0,0,1,0,0,0,0,0,5,200,0,0,bakerfr01,41000,75000,46110,0,2025-03-14,,12,3.396811934955706,1.3022451473286947,3.185934251718685,1.2319984154617873,2.2296330128961475,1.0937552348700237
Nolan Ryan Mission - Hardware Heroes LF Dusty Baker LAD 1981,72785,78,9,,,Nolan Ryan Mission,1981,N,Los Angeles Dodgers,LAD,Baker,Dusty,,The United States,12,15,6,1949,1,1,7,0,108,72,78,59,86,119,110,79,67,44,81,131,108,70,84,65,88,117,0,0,0,57,67,68,48,34,21,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,29,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0.0,4,188,10,3,2,1,0,0,0,60,92,73,0,0,0,0,0,0,78,0,0,0,0,0,0,0,1,0,0,4,2,5,0,0,bakerdu01,220,350,539,16827,2025-03-14,,12,3.114748954114812,1.0046088621598213,3.3069211521384223,1.3624009982817469,1.9210408104742043,0.7616333886914395
MLB 2025 Live RP Bryan Baker BAL,73347,60,1,,,,2025,N,Baltimore Orioles,BAL,Baker,Bryan,,The United States,43,2,12,1994,1,1,1,12,16,29,6,27,15,18,17,29,6,28,16,19,16,29,6,27,15,18,0,0,0,13,3,5,32,48,15,78,73,65,66,87,78,73,65,66,87,78,74,65,67,88,108,98,88,77,0,0,0,0,0,0,0,0,16,38,3,0.0,4,198,15,29,62,28,3,3,2,8,24,23,60,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,2,0,1,bakerbr01,51,219,273,0,2025-05-05,,12,56.53309163282937,57.372293226025086,53.559521058190434,55.525858351373806,52.98147392781515,55.71533986771016
Rookie Sensation 3B Doug Baird PIT 1915,71687,44,3,,,,1915,N,Pittsburgh Pirates,PIT,Baird,Doug,,The United States,25,27,9,1891,1,1,5,0,50,139,28,60,59,40,43,118,38,45,40,49,52,147,25,66,65,38,3,1,0,77,93,90,71,91,6,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,33,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0.0,2,175,66,56,79,38,0,0,0,74,54,63,0,0,0,7,62,0,0,31,0,0,0,1,1,0,0,0,0,0,0,1,0,1,bairddo01,0,0,22,309,2025-03-14,,12,3.7364911711512985,1.6606788053324912,3.695991076919822,1.7817498940138097,2.3569812352928254,1.2308135480678237
MLB 2025 Live C Patrick Bailey SF,72695,71,1,,,,2025,N,San Francisco Giants,SFG,Bailey,Patrick,,The United States,14,29,5,1999,3,1,2,0,67,89,51,71,66,71,69,92,53,73,68,73,67,88,51,71,66,71,0,0,0,12,11,85,39,45,26,1,20,1,1,60,1,20,1,1,59,1,20,1,1,60,9,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0,4,183,31,32,58,20,62,99,85,27,40,58,0,85,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,8,2,5,0,1,bailepa01,0,145,143,0,2025-03-14,,12,8.87137849864056,7.079074315293891,7.9373138607462765,6.353149307217418,8.90507479517671,8.278188384471308
Reds Live 1 - Snapshot SP Homer Bailey CIN 2013,69523,78,7,,ME,Reds Live 1,2013,N,Cincinnati Reds,CIN,Bailey,Homer,,The United States,34,3,5,1986,1,1,1,11,7,11,6,12,6,5,5,18,6,20,3,3,8,9,6,10,7,6,0,0,0,5,4,6,5,87,46,88,75,78,74,79,83,72,74,71,76,91,79,82,77,84,80,74,126,88,0,71,0,0,0,0,0,0,85,48,2,0.0,3,193,26,28,26,23,0,0,0,6,4,2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,1,baileho02,301,4000,1139,0,2025-03-14,,12,64.05185781361918,65.30618667220536,62.8826548856531,65.57455558106938,59.3599931991603,62.58021065724568
Snapshot SP Stan Bahnsen MON 1977,70684,51,7,,,,1977,N,Montreal Expos,WSN,Bahnsen,Stan,Bahnsen Burner,The United States,45,15,12,1944,1,1,1,11,8,26,9,18,6,7,9,16,5,10,5,12,8,29,11,21,7,6,0,0,0,6,4,6,7,21,41,58,63,66,56,77,75,75,67,75,75,45,51,66,37,80,61,60,71,58,0,0,0,0,0,0,0,0,58,71,3,0.0,3,188,30,18,24,24,0,0,0,4,5,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,bahnsst01,6,44,41,356,2025-03-14,,12,47.05010794903879,47.365733600419446,48.01927519538552,49.554448492447484,44.15503159817861,46.21589594560009
All-Time Legend SP Jim Bagby CLE Peak,71349,61,4,,,,1942,Y,Cleveland,CLE,Bagby,Jim,,The United States,56,8,9,1916,1,1,1,11,56,47,13,5,77,35,41,35,21,10,52,35,61,52,11,4,88,35,0,2,0,24,7,9,29,29,11,48,79,74,74,91,35,83,63,79,92,57,77,82,71,91,55,0,0,0,0,0,0,0,58,0,53,0,71,115,3,0.0,3,188,35,23,35,48,0,0,0,7,7,8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,bagbyji02,0,0,384,811,2025-03-14,,12,52.24715008203193,52.84971561648817,48.56667593333352,50.14445013575206,44.33316179134088,46.407608270632544
Cubs Live 1 - Hardware Heroes 2B Javier Baez CHC 2018,72754,89,9,,ME,Cubs Live 1,2018,N,Chicago Cubs,CHC,Baez,Javier,El Mago,Puerto Rico,9,1,12,1992,1,1,4,0,77,115,115,37,52,113,88,108,118,57,69,109,76,117,115,31,46,115,0,2,0,96,71,93,97,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.0,4,183,99,91,96,100,0,0,0,2,4,1,0,0,0,120,110,105,0,0,0,0,0,1,1,1,0,0,0,7,3,15,0,1,baezja01,0,1490,1730,0,2025-03-14,,12,2.9942698574641775,0.8774778552453625,3.032228626644573,1.0663308065381465,2.225476903079016,1.089282228570599
MLB 2025 Live SS Javier Baez DET,72009,45,1,,,,2025,N,Detroit Tigers,DET,Baez,Javier,El Mago,Puerto Rico,28,1,12,1992,1,1,6,0,72,83,59,45,71,75,75,86,62,47,74,77,71,82,59,45,70,75,3,2,0,56,51,87,68,39,57,1,24,8,1,71,1,24,8,1,71,1,24,8,1,71,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0.0,4,183,79,80,83,75,1,1,1,63,53,69,0,0,0,0,45,77,0,19,0,0,1,1,1,1,1,1,1,8,0,1,0,1,baezja01,0,19,24,0,2025-03-14,,12,11.211620903429845,9.548526540749377,10.184764379695288,8.775505375636861,11.54007173823684,11.114099475340232
Historical All-Star 2B Carlos Baerga CLE 1993,71283,70,5,,,,1993,N,Cleveland,CLE,Baerga,Carlos,,Puerto Rico,9,4,11,1968,3,1,4,0,91,56,77,47,99,80,88,41,57,36,101,77,92,61,87,52,99,82,2,1,0,63,55,74,60,11,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.0,4,180,67,55,42,69,0,0,0,6,9,2,0,0,0,67,0,0,0,0,0,0,0,1,1,0,0,0,0,5,2,5,0,1,baergca01,251,700,326,1905,2025-03-14,,12,2.589859709993571,0.4507393530182864,2.492540939850819,0.4846424747445506,1.8434322358889814,0.6781072889771981
MLB 2025 Live CF Ji-hwan Bae PIT,72517,67,1,,,,2025,N,Pittsburgh Pirates,PIT,Bae,Ji-hwan,,South Korea,3,26,7,1999,2,1,8,0,86,90,38,75,74,99,79,84,35,73,68,93,90,92,39,76,76,102,2,2,0,83,78,84,77,51,49,1,25,7,1,73,1,24,7,1,71,1,25,8,1,75,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0.0,3,185,56,62,47,70,1,1,1,81,79,55,0,0,0,53,0,5,27,71,11,0,1,1,1,1,1,1,1,8,1,2,0,1,baeji01,26,38,38,0,2025-03-14,,12,11.325011930159866,9.668178130145453,9.893703158874064,8.46179261150999,11.301952551714086,10.857824095671546
MLB 2025 Live CF Harrison Bader MIN,72082,75,1,,,,2025,N,Minnesota Twins,MIN,Bader,Harrison,Tots,The United States,44,3,6,1994,1,1,8,0,70,71,65,55,75,66,72,73,68,57,77,68,70,71,65,55,75,66,1,2,0,68,82,84,69,53,70,1,21,1,1,61,1,20,1,1,60,1,21,1,1,62,33,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,4,183,21,27,56,13,3,3,4,95,80,84,0,0,0,0,0,0,120,97,33,0,1,0,1,0,1,1,1,8,2,5,0,1,baderha01,150,255,196,0,2025-03-14,,12,9.936550380710635,8.203056629812885,9.168155371363108,7.679779805805439,9.837134772166069,9.281316389253531
MLB 2025 Live LF Akil Baddoo DET,72019,60,1,,,,2025,N,Detroit Tigers,DET,Baddoo,Akil,,The United States,60,16,8,1998,2,2,7,0,65,86,64,87,65,68,62,82,60,79,61,66,67,88,66,90,67,69,2,2,0,67,84,85,70,51,40,1,20,1,1,60,1,20,1,1,60,1,20,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,3,185,20,25,46,13,1,1,1,70,72,52,0,0,0,0,0,0,82,7,9,0,1,0,0,0,1,1,1,8,1,2,0,1,baddoak01,0,39,35,0,2025-03-14,,12,8.591020419780572,6.783237063414183,7.563969926279397,5.950750260992208,8.709002410803894,8.067165805898513
Snapshot 2B Wally Backman NYM 1988,71060,74,7,,,,1988,N,New York Mets,NYM,Backman,Wally,,The United States,6,22,9,1959,3,1,4,0,91,56,7,100,79,99,76,48,1,97,72,81,99,59,9,102,84,106,0,0,1,43,62,72,71,64,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0.0,4,175,71,68,58,69,0,0,0,9,4,2,0,0,0,76,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,5,0,0,backmwa01,240,388,364,2074,2025-03-14,,12,2.7719715799539184,0.6429060113247501,2.7860173217203466,0.8009583573704677,1.8434322358889814,0.6781072889771981
MLB 2025 Live RP Lake Bachar MIA,73424,43,1,,,,2025,N,Miami Marlins,FLA,Bachar,Lake,,The United States,84,3,6,1995,1,1,1,12,15,14,11,15,11,19,15,14,11,16,12,19,15,14,11,15,11,19,2,2,0,17,10,17,25,39,22,69,51,65,38,77,63,46,64,33,73,74,59,67,45,87,84,76,0,0,0,0,64,0,0,0,0,0,21,52,4,0.0,3,188,22,33,51,31,3,3,4,3,3,3,69,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,0,1,0,1,bachala01,0,47,42,0,2025-05-05,,12,46.03379676142148,46.29330968446923,42.73055424361109,43.85413821478282,44.46538548552304,46.54991380225544
Unsung Heroes SS Charlie Babb BRO 1904,70456,64,8,,,,1904,N,Brooklyn Superbas,LAD,Babb,Charlie,,The United States,31,20,2,1873,3,1,6,0,71,63,18,103,70,74,64,42,10,97,47,82,75,70,21,106,78,72,1,0,0,59,85,88,59,41,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0.0,3,178,86,70,78,72,0,0,0,6,9,7,0,0,0,0,0,76,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,babbch01,0,42,35,3397,2025-03-14,,12,2.9750669136792505,0.8572146755986991,3.075966860519337,1.1134729239530512,1.9707804582856596,0.8151656021749983
MLB 2025 Live LF Jose Azocar NYM,72336,45,1,,,,2025,N,New York Mets,NYM,Azocar,Jose,,Venezuela,28,11,5,1996,1,1,7,0,75,77,36,44,77,75,78,79,38,47,80,77,75,77,36,44,76,75,0,0,0,80,92,85,77,44,56,1,28,1,1,84,1,28,1,1,84,1,28,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,3,180,32,23,38,18,3,3,1,85,80,66,0,0,0,0,0,0,105,30,24,0,1,0,1,0,1,1,1,8,0,1,0,1,azocajo01,0,15,15,0,2025-03-14,,12,11.491746013292444,9.844117960911872,10.157069827141397,8.745655522714426,11.859883319165132,11.458296159033376
MLB 2025 Live RP Pedro Avila CLE,71965,63,1,,,,2025,N,Cleveland Guardians,CLE,Avila,Pedro,,Venezuela,60,14,1,1997,1,1,1,12,24,25,6,16,27,20,25,26,7,17,28,21,24,25,6,16,27,20,0,0,0,16,15,11,21,56,12,77,72,65,65,88,76,69,64,63,83,79,76,66,68,92,99,84,99,0,0,0,91,0,0,0,0,0,33,58,2,0.0,3,180,30,50,61,33,2,2,1,13,19,28,86,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,1,2,0,1,avilape01,0,34,34,0,2025-03-14,,12,57.63394930649976,58.533931621514235,55.8934602468692,58.04143398222766,54.503862313830055,57.3538078438801
Negro League Star 2B Bobby Avila NEL 1945,71763,78,2,,,,1945,N,,,Avila,Bobby,,Mexico,1,2,4,1924,1,1,4,0,99,94,32,35,104,87,94,88,34,38,109,78,101,97,32,35,103,91,1,1,0,65,46,73,57,22,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,25,2,0.0,3,178,102,82,69,96,1,1,1,2,8,4,0,0,0,117,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,5,0,0,avilabo01,124,555,382,2919,2025-03-14,,12,3.2482347186197713,1.1454646630583947,3.5161814333236285,1.5879467478919271,1.9707804582856596,0.8151656021749983
Baseball Reference 2 SP Jerry Augustine ML4 1977,73247,44,8,BBR,,,1977,N,Milwaukee Brewers,MIL,Augustine,Jerry,,The United States,46,24,7,1952,2,2,1,11,3,3,1,2,1,1,3,3,1,2,1,1,3,3,1,3,1,1,1,2,0,6,4,6,7,28,41,42,84,75,68,117,54,90,80,71,130,38,83,74,68,113,44,49,70,0,0,0,0,0,0,0,0,0,99,47,2,0.0,3,183,34,20,25,23,0,0,0,6,8,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,augusje01,20,175,63,5071,2025-05-01,,12,54.73369696098259,55.473550101051735,52.68992746779855,54.588589524770455,50.927907022172086,53.50519189053976
Snapshot RP Paul Assenmacher CLE 1995,70531,97,7,,,,1995,N,Cleveland,CLE,Assenmacher,Paul,,The United States,45,10,12,1960,2,2,1,12,3,3,1,2,1,1,3,3,1,2,1,1,3,3,2,3,1,1,0,0,0,5,3,6,5,23,4,118,81,82,86,73,127,85,84,90,75,116,81,82,85,73,89,88,144,0,0,0,0,0,0,0,0,0,15,71,2,0.0,4,191,29,20,24,23,0,0,0,8,2,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,75,0,0,assenpa01,4625,0,6135,17678,2025-03-14,,12,66.89850569173673,68.3100041072366,60.747043642940874,63.27274256674417,59.075336690685184,62.27384956198949
MLB 2025 Live SP Javier Assad CHC,72421,50,1,,,,2025,N,Chicago Cubs,CHC,Assad,Javier,,Mexico,72,30,7,1997,1,1,1,11,13,19,3,19,14,12,14,20,3,20,15,13,13,19,3,19,14,12,0,0,0,29,43,11,33,49,9,60,84,71,78,97,61,84,71,78,97,60,84,71,78,97,69,60,59,60,64,0,0,0,0,0,0,0,50,53,2,0.0,4,185,27,48,52,23,1,1,1,11,11,41,82,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,0,1,0,1,assadja01,0,17,13,0,2025-03-14,,12,58.26909285238615,59.2041428097497,54.67006696240134,56.722831360408804,56.82572774566797,59.85271166500079
Matt Stairs Mission - Unsung Heroes LF Billy Ashley LAD 1996,70424,42,8,,,Matt Stairs Mission,1996,N,Los Angeles Dodgers,LAD,Ashley,Billy,Light-Tower Power,The United States,21,11,7,1970,1,1,7,0,28,29,59,91,26,32,45,51,133,100,48,44,24,20,41,88,15,29,2,0,0,10,4,6,15,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0.0,3,201,10,5,4,10,0,0,0,48,40,59,0,0,0,0,0,0,53,0,45,0,0,0,0,0,1,0,1,5,0,1,0,1,ashlebi01,0,26,30,598,2025-03-14,,12,2.794735563698962,0.6669268436130582,2.8227018694540376,0.8404978426987073,1.8434322358889814,0.6781072889771981
MLB 2025 Live RP Graham Ashcraft CIN,72433,68,1,,,,2025,N,Cincinnati Reds,CIN,Ashcraft,Graham,,The United States,51,11,2,1998,2,1,1,12,19,18,15,9,15,24,19,18,15,9,14,24,20,19,16,10,16,25,2,2,0,14,15,6,22,37,7,65,85,76,91,73,60,77,75,81,70,69,91,78,98,77,0,76,0,64,74,73,0,0,0,0,0,0,34,52,2,0.0,3,188,46,35,54,22,2,2,4,31,31,47,87,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,8,1,2,0,1,ashcrgr01,0,48,58,0,2025-03-14,,12,58.870899140645925,59.83917611860474,51.5140597462812,53.32121109447332,55.324621931716635,58.23714902172555
Nolan Ryan Mission - Snapshot C Alan Ashby HOU 1981,71190,78,7,,,Nolan Ryan Mission,1981,N,Houston Astros,HOU,Ashby,Alan,,The United States,14,8,7,1951,3,1,2,0,78,72,63,89,77,79,84,69,75,93,79,87,77,74,60,88,77,78,0,0,0,17,16,10,23,41,28,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,29,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0.0,3,188,7,6,4,9,85,81,74,10,8,6,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,5,0,1,ashbyal01,315,665,371,12000,2025-03-14,,12,3.534713455411209,1.447760507568994,3.376677152533543,1.4375856884189109,2.30724158748137,1.1772813345842648
MLB 2025 Live SP Aaron Ashby MIL,72463,61,1,,,,2025,N,Milwaukee Brewers,MIL,Ashby,Aaron,,The United States,26,24,5,1998,1,2,1,11,19,13,2,12,18,20,20,14,3,13,20,21,19,13,2,12,18,20,1,1,0,20,15,23,21,45,22,75,87,54,96,71,83,94,56,104,75,73,86,54,94,70,79,82,81,77,0,88,0,0,0,0,0,0,53,54,0,0.0,3,188,33,37,51,10,1,1,4,1,1,1,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,2,0,1,ashbyaa01,0,39,39,0,2025-03-14,,12,61.4261240680274,62.53548051448618,59.086263900725285,61.482714331219185,54.57437457872751,57.4296965520593
All-Time Legend CF Richie Ashburn PHI Peak,71380,100,4,,,,1958,Y,Philadelphia Phillies,PHI,Ashburn,Richie,Whitey,The United States,1,19,3,1927,2,1,8,0,127,72,28,149,118,119,118,66,20,139,100,129,131,75,31,152,128,117,0,2,0,70,70,78,62,56,71,1,3,1,5,1,1,3,1,5,1,1,3,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0.0,4,178,7,1,2,4,0,0,0,101,92,98,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,1,0,2,5,200,0,0,ashburi01,0,0,28151,120074,2025-03-14,,12,3.965448626586975,1.9022774947260224,4.0334721686694435,2.1454951082838916,2.434589809878048,1.3143396477820648
MLB 2025 Live SP Spencer Arrighetti HOU,72225,61,1,,,,2025,N,Houston Astros,HOU,Arrighetti,Spencer,Spaghetti,The United States,32,2,1,2000,1,1,1,11,24,30,8,27,28,17,25,31,9,28,29,18,24,30,8,27,28,17,0,0,0,15,6,3,34,34,17,83,76,67,71,88,82,77,67,71,89,83,76,67,71,87,99,94,106,89,98,0,0,0,0,0,0,0,55,45,4,0.0,4,188,28,24,35,9,1,1,3,11,22,21,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,2,0,1,arrigsp01,0,33,33,0,2025-03-14,,12,62.18362712254337,63.33480694320809,61.06410262828206,63.61447634495758,64.56990247992428,68.18736688209536
MLB 2025 Live 1B Luis Arraez SD,72667,73,1,,,,2025,N,San Diego Padres,SDP,Arraez,Luis,La Regadera,Venezuela,3,9,4,1997,2,1,3,0,132,90,32,47,175,94,108,83,31,46,121,88,142,93,33,48,193,97,1,1,0,45,22,67,54,56,55,1,23,5,1,67,1,22,5,1,66,1,23,5,1,68,33,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0.0,4,178,40,49,46,55,3,3,1,55,54,43,0,0,59,37,0,0,0,0,0,0,1,1,1,1,1,1,1,8,2,5,0,0,arraelu01,0,101,125,0,2025-03-14,,12,11.276267609705801,9.616742530834346,10.356963642139275,8.961105870438237,11.243812543272247,10.79525100798821
Rod Carew Mission - Rookie Sensation 2B Luis Arraez MIN 2019,71695,83,3,,,Rod Carew Mission,2019,N,Minnesota Twins,MIN,Arraez,Luis,La Regadera,Venezuela,2,9,4,1997,2,1,4,0,142,74,28,68,143,123,113,34,4,120,137,88,153,90,33,56,145,141,0,0,0,27,20,23,52,5,1,1,3,1,4,1,1,3,1,4,1,1,3,1,4,1,46,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0.0,4,178,46,63,39,79,0,0,0,52,52,61,0,0,0,54,38,33,60,0,0,0,0,1,1,1,1,0,0,7,3,10,0,0,arraelu01,1900,3395,3041,4808,2025-03-14,,12,4.333950050459759,2.291124675429979,4.537444571748891,2.6886886507545475,2.7708629580820294,1.6762530659606745
MLB 2025 Live LF Randy Arozarena SEA,72167,80,1,,,,2025,N,Seattle Mariners,SEA,Arozarena,Randy,,Cuba,56,28,2,1995,1,1,7,0,69,98,80,100,62,77,72,101,85,106,64,79,69,97,79,98,62,77,2,2,0,67,72,74,71,61,58,1,21,2,1,62,1,20,2,1,60,1,21,2,1,63,5,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0.0,3,180,53,51,48,41,1,1,1,57,57,60,0,0,0,0,0,0,67,4,0,0,1,1,1,1,1,1,1,8,3,10,0,0,arozara01,0,2000,1528,0,2025-03-14,,12,9.31503751267158,7.54722869848948,8.558155123163104,7.022306909069256,9.411412583897846,8.82313359002161
MLB 2025 Live RP Shawn Armstrong TEX,72195,56,1,,,,2025,N,Texas Rangers,TEX,Armstrong,Shawn,,The United States,64,11,9,1990,1,1,1,12,24,19,1,11,20,27,25,20,2,13,22,28,24,19,1,11,20,27,0,0,0,21,21,17,25,44,36,73,60,78,56,70,66,57,76,53,66,78,64,82,60,74,82,70,0,0,74,73,0,0,0,0,0,0,18,66,2,0.0,3,188,15,20,59,25,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,armstsh01,0,12,14,0,2025-03-14,,12,53.415340130748184,54.082403952386024,47.66825530536511,49.17611083670924,51.084527754280785,53.67375469377825
MLB 2025 Live RP Luarbert Arias MIA,73324,44,1,,,,2025,N,Miami Marlins,FLA,Arias,Luarbert,,Venezuela,76,12,12,2000,1,1,1,12,16,14,1,17,19,12,16,14,1,17,19,12,16,14,1,17,19,12,0,0,0,9,14,8,5,17,6,63,52,68,38,81,60,48,68,35,75,66,58,69,43,90,77,71,0,59,0,0,0,0,0,0,0,0,23,33,4,0.0,3,188,9,14,13,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,arias-000lua,6,43,53,0,2025-05-05,,12,44.67963301658812,44.86437964437326,40.91438362628769,41.89662596743165,42.84602515377489,44.80707993027969
MLB 2025 Live 3B Gabriel Arias CLE,71978,61,1,,,,2025,N,Cleveland Guardians,CLE,Arias,Gabriel,,Venezuela,13,27,2,2000,1,1,5,0,77,102,68,55,63,94,78,104,70,55,65,96,77,102,68,55,63,93,2,1,0,55,56,82,62,51,32,1,21,1,1,61,1,21,1,1,61,1,21,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0.0,4,185,81,76,84,72,4,4,1,64,61,78,0,0,29,82,85,70,10,0,18,0,1,1,1,1,1,1,1,8,1,2,0,1,ariasga01,0,44,41,0,2025-03-14,,12,8.866525597694912,7.073953475240903,7.751654814033096,6.153041534133742,8.893008272707636,8.26520180967152
